Themes/Phrases,strength
production decision,1.0
knowledge point,1.0
system demonstration,1.0
manufacturing organizations,1.0
building production,1.0
statistical process control,1.5
costly design changes,1.5
parts shortages,1.0
system demonstration phase,1.5
operational test articles,1.5
major product design,1.5
tooling changes,1.0
engineering drawings,1.0
design stability,1.0
engineering drawings,1.0
system demonstration phase,1.5
schedule experiences,1.0
producing items,1.0
performance problems,1.0
system demonstration phase,1.5
knowledge point,1.0
production representative,1.0
statistical control,1.0
Program Outcomes,1.0
critical manufacturing processes,1.5
production outcome,1.0
weapon systems,1.0
design trade-offs,1.0
early identification,1.0
design stability,1.0
product design,1.0
manufacturing processes,1.0
manufacturing processes,1.0
18 aircraft models,1.5
product developers,1.0
key junctures,1.0
critical design review,1.5
prototype missiles,1.0
stable design,1.0
prior versions,1.0
development cost,1.0
schedule results,1.0
initial manufacturing,1.0
5 percent increase,1.5
critical design review,1.5
higher-level assembly drawings,1.5
system demonstration,1.0
design knowledge,1.0
original cost,1.0
schedule estimates,1.0
Specific details,1.0
short-range air-to-air missiles,1.5
production representative prototype,1.5
system demonstration,1.0
significant knowledge,1.0
year product development phase,2.0
development program,1.0
final assembly,1.0
program offices,1.0
system demonstration,1.0
manufacturing knowledge,1.0
program experiences,1.0
eventual engineering,1.0
critical design review,1.5
estimated development,1.0
design efforts,1.0
eventual design drawings,1.5
cost increases,1.0
production cost increases,1.5
initial manufacturing,1.0
program office,1.0
demonstration phase,1.0
initial aircraft,1.0
manufacturing problems,1.0
planned assembly sequence,1.5
labor hours,1.0
estimated development cost,1.5
independent review team,1.5
cost impact,1.0
limited production decision,1.5
manufacturing processes,1.0
several design,1.0
manufacturing problems,1.0
independent review team,1.5
cost savings,1.0
cost increases,1.0
development estimate,1.0
production decision,1.0
critical design review,1.5
34 percent increase,1.5
engineering drawings,1.0
manufacturing prototypes,1.0
major redesign,1.0
numerous design,1.0
manufacturing problems,1.0
overall production cost,1.5
major sections,1.0
Large sections,1.0
significant cost growth,1.5
schedule delays,1.0
product development effort,1.5
Achieving design,1.0
initial manufacturing,1.0
program office,1.0
production aircraft,1.0
successful cases,1.0
major design review,1.5
product developer,1.0
engineering drawings,1.0
critical design review,1.5
product development cost,1.5
limited production,1.0
program officials,1.0
development units,1.0
quality targets,1.0
Program officials,1.0
product development goals,1.5
manufacturing processes,1.0
manufacturing knowledge,1.0
successful programs,1.0
different facilities,1.0
different processes,1.0
commercial companies,1.0
commercial companies,1.0
design challenge,1.0
disciplined product development process,2.0
manufacturing processes,1.0
making commitments,1.0
manufacturing processes,1.0
critical processes,1.0
necessary knowledge,1.0
risky technology,1.0
entering production,1.0
company resources,1.0
required agreements,1.0
decision review,1.0
reliability testing,1.0
evolutionary product development,1.5
manufacturing requirements,1.0
product development process,1.5
commercial company,1.0
system integration,1.0
requisite design knowledge,1.5
similar decision,1.0
manufacturing knowledge,1.0
entering product demonstration,1.5
statistical process control,1.5
predecessor products,1.0
system demonstration,1.0
requisite knowledge,1.0
key stakeholders,1.0
required agreements,1.0
predictable outcomes,1.0
commercial companies,1.0
Commercial Companies,1.0
held program reviews,1.5
manufacturing knowledge,1.0
initial development,1.0
Commercial companies,1.0
evolutionary approach,1.0
meeting cost,1.0
varying degrees,1.0
capturing design,1.0
gathered design,1.0
manufacturing knowledge,1.0
next phases,1.0
sufficient design,1.0
successful outcomes,1.0
manufacturing knowledge,1.0
manageable amount,1.0
evolutionary approach,1.0
manufacturing knowledge,1.0
program reviews,1.0
cycle times,1.0
evolutionary improvements,1.0
commercial companies,1.0
requisite knowledge,1.0
significant amounts,1.0
full requirement,1.0
subsequent development efforts,1.5
future generations,1.0
time-phased plans,1.0
performance requirements,1.0
multiple steps,1.0
enhanced interim,1.0
single step,1.0
design challenge,1.0
improved capability,1.0
full capability,1.0
Notional Single-Step,1.0
Evolutionary Approaches,1.0
basic capability,1.0
fielded product,1.0
single-step approach,1.0
war fighter,1.0
commercial company,1.0
engine development programs,1.5
significant cost,1.0
engineering development team,1.5
primary method,1.0
immature technologies,1.0
fielded products,1.0
evolutionary approaches,1.0
acquisition guidance,1.0
product development process,1.5
Commercial Companies,1.0
immature technologies,1.0
product development effort,1.5
major design challenge,1.5
mining truck,1.0
DOD programs,1.0
major acquisitions today,1.5
overwhelming majority,1.0
managing risk,1.0
design changes,1.0
successful cost,1.0
schedule outcomes,1.0
competing weapon systems,1.5
little knowledge,1.0
commercial companies,1.0
major leaps,1.0
quantum leaps,1.0
product performance,1.0
schedule ramifications,1.0
critical decision points,1.5
9X-were variations,1.0
disciplined framework,1.0
usual practice,1.0
ensured design,1.0
stable-knowledge point,1.0
informed decisions,1.0
affordable cost-knowledge point,1.5
product development program,1.5
Commercial companies,1.0
product development process,1.5
appropriate knowledge,1.0
demanded knowledge,1.0
existing product,1.0
design review process,1.5
required agreement,1.0
used engineering drawings,1.5
design knowledge,1.0
next phase,1.0
manufacturing knowledge,1.0
building engineering prototypes,1.5
making commitments,1.0
manufacturing processes,1.0
product design,1.0
key indicator,1.0
engineering data,1.0
specific manufacturing,1.0
disciplined design review process,2.0
improved capability,1.0
included design engineers,1.5
significantly impact company resources,2.0
commercial firm,1.0
stable design,1.0
executive decisions,1.0
design knowledge,1.0
Entering Product Demonstration,1.5
product reliability knowledge,1.5
additional resources,1.0
product demonstration,1.0
product integration,1.0
products-future generations-in,1.0
key supplier,1.0
production personnel,1.0
schedule estimates,1.0
next phase,1.0
initial design challenge,1.5
Limit design challenge,1.5
subsystem level,1.0
Demonstrate design,1.0
used modeling,1.0
existing product,1.0
critical design reviews,2.1666667
technical risk,1.0
design maturity,1.0
including design stability,1.5
key tool,1.0
initial manufacturing,1.0
signify confidence,1.0
relevant product knowledge,1.5
Corporate stakeholders,1.0
production representative prototypes,1.5
various system,1.0
product integration phase,1.5
initial manufacturing,1.0
level review,1.0
system demonstrations,1.0
existing products,1.0
manufacturing equipment,1.0
virtual prototypes,1.0
product integration,1.0
Prototype Engineering prototypes,1.5
production representative prototypes,1.5
demonstration phase,1.0
development process,1.0
commercial companies,1.0
manufacturing production processes,1.5
world sales leader,1.5
diesel engines,1.0
Initial products,1.0
representative prototypes,1.0
manufacturing facility,1.0
product development process,1.5
integration Product demonstration Production,2.0
full rate,1.0
stable design,1.0
1st set,1.0
production tooling,1.0
costly environment,1.0
Disciplined Reviews,1.0
production-like tooling,1.0
production representative prototypes-in,1.5
remaining product,1.0
test hours,1.0
12 engineering concept,1.5
using engineering prototypes,1.5
production workers,1.0
prototype engines,1.0
development phases,1.0
overhead cam diesel engine,2.0
quantum leap,1.0
accumulating millions,1.0
test miles,1.0
product integration phase,1.5
demonstrate product reliability,1.5
process control,1.0
major manufacturer,1.0
heavy equipment,1.0
significant design changes,1.5
existing products,1.0
reaching production,1.0
continuous product improvement philosophy,2.0
existing components,1.0
critical components,1.0
building engineering,1.0
initial manufacturing,1.0
truck design,1.0
existing products,1.0
getting agreement,1.0
design reviews,1.0
797 mining truck,1.5
subsystem level,1.0
initial manufacturing,1.0
key suppliers,1.0
initial manufacturing,1.0
initial manufacturing,1.0
next phase,1.0
risk element,1.0
reliability testing,1.0
critical design review,1.5
integrated system,1.0
simulated performance,1.0
360ton payload truck design,2.0
demonstrated design stability,1.5
maintenance representatives,1.0
vast experience,1.0
manufacturing trucks,1.0
commercial companies,1.0
design review process,1.5
crossfunctional team,1.0
design engineers,1.0
past experience,1.0
commercial companies,1.0
cross-functional teams,1.0
manufacturing processes,1.0
commercial company,1.0
engineering drawings4,1.0
interface control,1.0
manufacturing facility,1.0
manufacturing engineering,1.0
design engineering,1.0
product design,1.0
manufacturing processes,1.0
testing requirements,1.0
included stakeholders,1.0
design teams,1.0
available technologies,1.0
manufacturing issues,1.0
engineering drawings,1.0
key suppliers,1.0
design facility,1.0
design engineers,1.0
drawing package,1.0
good measure,1.0
tool manufacturers,1.0
pattern makers,1.0
critical materials,1.0
technical disciplines,1.0
engineering drawings,1.0
product integration,1.0
design reviews,1.0
development program,1.0
manufacturing stakeholders,1.0
commercial company,1.0
specific design,1.0
decision point,1.0
threedimensional drawings,1.0
early supplier,1.0
Starting Production,1.0
product design,1.0
detailed plan,1.0
product design,1.0
executive level review,1.5
decision point,1.0
next phase,1.0
exit criteria,1.0
included canceling,1.0
computer-aided design software systems,2.0
major milestone,1.0
design team,1.0
exit criteria,1.0
specific time,1.0
significant investment,1.0
demonstration phase,1.0
next phase,1.0
decision point,1.0
testing production representative prototypes,2.0
subsequent milestones,1.0
achieving success,1.0
manufacturing environment,1.0
appropriate adjustment,1.0
end date,1.0
manufacturing capability,1.0
making changes,1.0
product design,1.0
added investments,1.0
decision point,1.0
purchasing materials,1.0
establishing tooling,1.0
commercial companies,1.0
production representative prototypes,1.5
commercial companies,1.0
statistical process control,1.5
critical manufacturing,1.0
reliability goals-the,1.0
program outcomes,1.0
production decision,1.0
quality concept,1.0
executive decisions,1.0
product tests,1.0
smooth transition,1.0
manufacturing processes,1.0
process control,1.0
manufacturing processes,1.0
service life,1.0
key system characteristics,1.5
critical processes-those,1.0
specification limits,1.0
quality targets,1.0
producing parts,1.0
defect rate,1.0
producing parts,1.0
quality tolerances,1.0
potential failures,1.0
predictable intervals,1.0
Company officials,1.0
potential problems,1.0
fabricating hardware,1.0
key ingredient,1.0
successful outcomes,1.0
product design,1.0
Key product characteristics,1.5
manufacturing processes,1.0
key characteristics,1.0
expected period,1.0
failure modes,1.0
effects analysis,1.0
time production,1.0
early design changes,1.5
reliability growth testing,2.1666667
reliability growth plan,1.5
reliability growth testing,1.5
including manufacturing,1.0
reliability knowledge,1.0
manufacturing engineers,1.0
growth plan,1.0
critical manufacturing processes,1.5
Key product,1.0
iterative design,1.0
relevant product knowledge,1.5
Corporate stakeholders,1.0
engineering drawings,1.0
work instructions,1.0
critical processes,1.0
process capability index,1.5
executive level review,1.5
design engineers,1.0
critical manufacturing processes,1.5
capability studies,1.0
product defect rate,1.5
industry standard,1.0
various Cpk values,1.5
manufacturing process,1.0
specified limits,1.0
defect rate,1.0
additive effect,1.0
various individual,1.0
percent probability,1.0
five5 companies,1.0
defect rate,1.0
final product,1.0
final product,1.0
Defective Part,1.0
final product,1.0
final product,1.0
statistical process control data,2.0
engine concept,1.0
using manufacturing personnel,1.5
statistical process control techniques,2.0
final product,1.0
manufacturing processes,1.0
production representative prototypes,1.5
production processes,1.0
prototype engines,1.0
manufacturing processes,1.0
critical manufacturing processes,1.5
fifth company,1.0
included manufacturing engineers,1.5
600 diesel engine,1.5
engine hardware,1.0
subsequent prototypes,1.0
quality standards,1.0
design decision process,1.5
machine tool,1.0
fixture suppliers,1.0
schedule targets,1.0
design phase,1.0
quality targets,1.0
production representative prototypes,1.5
requiring suppliers,1.0
Demonstrating Product Reliability,1.5
specific elements,1.0
Making design changes,1.5
reliability requirements,1.0
complex product,1.0
technological advances,1.0
critical manufacturing processes,1.5
key components,1.0
adequate sample,1.0
design engineers,1.0
design problems,1.0
getting manufacturing,1.0
reliability growth,1.0
Initial prototypes,1.0
critical manufacturing,1.0
design changes,1.0
demanded proof,1.0
key reliability,1.0
reliability growth,1.0
controlling manufacturing processes,1.5
key suppliers,1.0
processes-in control,1.0
critical processes,1.0
manufacturing processes,1.0
meeting cost,1.0
growth testing,1.0
Prototype hardware,1.0
manufacturing process improvements,1.5
reliability expectations,1.0
actual reliability,1.0
growth plan,1.0
reliability requirements,1.0
representative prototype,1.0
production decision,1.0
overall reliability goal,1.5
full rate production,1.5
current stage,1.0
failure modes,1.0
6 component prototype testing,2.0
past product,1.0
effects analysis,1.0
6 Failure modes,1.5
bottom-up approach,1.0
effects analysis,1.0
early design change,1.5
cost-effective time,1.0
potential failure modes,1.5
product design,1.0
existing components,1.0
manageable level,1.0
reliability growth plan,1.5
failure identification,1.0
decision makers,1.0
decision makers,1.0
interim reliability milestone,1.5
pilot production units,1.5
testing prototypes,1.0
uncovering failures,1.0
full reliability goal,1.5
production decision,1.0
demonstrating reliability,1.0
executive level reviews,1.5
full production,1.0
interim goal,1.0
reliability goal,1.0
costly design changes,1.5
product reliability,1.0
planned rate,1.0
production units,1.0
exit criteria,1.0
design team,1.0
exit criteria,1.0
incorporating design changes,1.5
commercial companies,1.0
specific manufacturing,1.0
critical processes,1.0
production decision,1.0
additional tooling,1.0
similar tools,1.0
predecessor programs,1.0
initial manufacturing,1.0
weapon programs,1.0
meeting cost,1.0
causing quality,1.0
labor problems,1.0
critical program junctures,1.5
manufacturing knowledge,1.0
gained control,1.0
performance objectives,1.0
production line,1.0
daunting task,1.0
entered production,1.0
commercial companies,1.0
achieved design,1.0
system demonstration,1.0
critical design review,1.5
building production,1.0
allowing time,1.0
mature technologies,1.0
engineering drawings,1.0
representative prototypes,1.0
Program officials,1.0
entering system demonstration,1.5
program officials,1.0
design reviews,1.0
system level,1.0
entering production,1.0
Achieving Stability,1.0
extensive use,1.0
engineering prototypes,1.0
stable design,1.0
significant increases,1.0
development costs,1.0
production delays,1.0
development practices,1.0
using engineering prototypes,1.5
stable design,1.0
uncovered problems,1.0
engineering prototypes,1.0
missile design,1.0
stable design,1.0
initial manufacturing,1.0
total ownership costs,1.5
grew system reliability,1.5
major subsystems,1.0
design reviews,1.0
initial manufacturing,1.0
successful production outcome,1.5
took steps,1.0
Program officials,1.0
making design trade-offs,1.5
critical manufacturing,1.0
limited extent,1.0
critical design review,1.5
program officials,1.0
key characteristics,1.0
manufacturing background,1.0
design stability,1.0
schedule targets,1.0
reliable product,1.0
officials knowledge,1.0
prior knowledge,1.0
representative prototypes,1.0
manufacturing aspects,1.0
robust design,1.0
manufacturing capability,1.0
system demonstration phase,1.5
manufacturing processes,1.0
using production processes,1.5
prior versions,1.0
evolutionary approach,1.0
manufacturing problems,1.0
statistical process,1.0
product leader,1.0
former program manager,1.5
production targets,1.0
schedule successes,1.0
critical design review,1.5
critical design review,1.5
early versions,1.0
computer-aided design software,1.5
critical manufacturing,1.0
drawing data,1.0
component designs,1.0
capturing design,1.0
manufacturing knowledge,1.0
critical design review,1.5
statistical process control data,2.0
production line-an,1.0
critical design review,1.5
engineering drawings,1.0
extreme design challenge,1.5
product design,1.0
initial engineering drawings,1.5
drawing completion,1.0
labor inefficiencies,1.0
cost increases,1.0
schedule delays,1.0
22 program office,1.5
welding process,1.0
rear aircraft body,1.5
rolling wave,1.0
manufacturing problems,1.0
unproven technologies,1.0
critical design review,1.5
critical design review,1.5
test aircraft,1.0
critical processes,1.0
Unit costs,1.0
manufacturing processes,1.0
design stability,1.0
Drawing Completion,1.0
several design,1.0
manufacturing problems,1.0
late parts,1.0
test articles,1.0
significant cost overruns,1.5
aircraft deliveries,1.0
critical manufacturing processes,1.5
full rate production,1.5
commercial companies,1.0
drawing releases,1.0
factory floor,1.0
parts shortages,1.0
critical manufacturing processes,1.5
process control data,1.5
budgetary constraints,1.0
specific hardware quality problems,2.0
demanded attention,1.0
post-assembly inspection,1.0
statistical process control,1.5
rate production,1.0
processes status,1.0
final assembly,1.0
system integration,1.0
Late engineering,1.0
flight test program,1.5
major improvements,1.0
critical manufacturing processes,1.5
22 program office,1.5
critical manufacturing,1.0
reliability goals,1.0
mean time,1.0
reliability requirement,1.0
reliability goal,1.0
operating hours,1.0
limited production,1.0
maintenance actions,1.0
limited production,1.0
maintenance actions,1.0
main landing gear tires,2.0
flying hours,1.0
maintenance actions,1.0
canopy delaminating,1.0
Tactical Aircraft,1.0
980 engineering drawings,1.5
eventual drawings,1.0
correct problems,1.0
maintenance actions,1.0
design fixes,1.0
Initial Production Rates,1.5
design stability,1.0
representative prototypes,1.0
system demonstration,1.0
manufacturing production units,1.5
critical design review,1.5
critical design,1.0
critical design review,1.5
design knowledge,1.0
expected drawings,1.0
initial manufacturing,1.0
product design,1.0
poor quality,1.0
additional cost,1.0
significant lack,1.0
system demonstration,1.0
limited production,1.0
initial production,1.0
statistical control,1.0
critical manufacturing processes,1.5
manufactured development missiles,1.5
environmental tests,1.0
failed ground,1.0
critical manufacturing processes,1.5
manufacturing processes,1.0
development missiles,1.0
quality targets,1.0
specialty shops,1.0
contractor estimates,1.0
initial manufacturing,1.0
critical design review,1.5
initial manufacturing,1.0
manufacturing problems,1.0
manufacturing problems,1.0
little emphasis,1.0
program officials,1.0
initial production missiles,1.5
Actual production labor,1.5
engineering activities,1.0
seeker subsystem,1.0
stable design,1.0
quality targets,1.0
common missile warning system,2.0
major redesign,1.0
producibility issues,1.0
critical design review,1.5
contributing factor,1.0
critical design review,1.5
large percentage,1.0
tracking targets,1.0
production experience,1.0
full requirements,1.0
engineering drawings,1.0
contract target price,1.5
acceptable quality,1.0
critical design review,1.5
percent drawings-the,1.0
best practice-until,1.0
immature design,1.0
critical design review,1.5
reliability growth testing,1.5
scheduled production,1.0
Program officials,1.0
immature design,1.0
reliability growth test program,2.0
reliability testing,1.0
electrical system,1.0
cooling system,1.0
program official,1.0
system failures,1.0
critical manufacturing processes,1.5
development units,1.0
statistical process control,1.5
developing weapon systems,1.5
good framework,1.0
evolutionary acquisition,1.0
acquisition policy,1.0
system reliability,1.0
production delay,1.0
using design,1.0
limited production,1.0
early part,1.0
right knowledge,1.0
right time,1.0
production readiness review,1.5
disciplined adherence,1.0
specific criteria,1.0
acquisition incentives,1.0
separate integration,1.0
demonstration phases,1.0
product development process,1.5
manufacturing knowledge,1.0
successful acquisition program outcomes,2.0
key decisions,1.0
major weakness,1.0
process control,1.0
acquisition policy9,1.0
successful companies,1.0
right policy,1.0
current incentives,1.0
manufacturing knowledge,1.0
right decisions,1.0
program managers,1.0
knowledge-based product development process,2.0
program funding,1.0
commercial companies,1.0
significant increases,1.0
development program,1.0
scheduledriven process,1.0
key players,1.0
making product development,1.5
knowledge-based process,1.0
manufacturing knowledge,1.0
statistical process control,1.5
reliability testing,1.0
product development process,1.5
phases-system integration,1.0
specific design,1.0
manufacturing knowledge,1.0
program examples,1.0
delivering capabilities,1.0
acquisition costs,1.0
manufacturing knowledge,1.0
Implementation Criteria,1.0
demonstration-were good,1.0
exit criteria,1.0
key decision,1.0
war fighter,1.0
important manufacturing,1.0
critical design reviews,1.5
informed decisions,1.0
quality systems,1.0
system integration,1.0
increased investments,1.0
manufacturing knowledge,1.0
key criteria,1.0
commercial companies,1.0
reliability knowledge,1.0
integration phase,1.0
engineering drawings,1.0
production decisions,1.0
evolutionary acquisitions,1.0
significant increases,1.0
full knowledge,1.0
demonstration phase,1.0
current acquisition policy,1.5
engineering drawings,1.0
engineering prototypes,1.0
product demonstration,1.0
stakeholder agreement,1.0
stable design,1.0
relevant environment,1.0
system integration,1.0
demonstration phase,1.0
integration phase,1.0
noteworthy activities,1.0
system integration,1.0
additional investment,1.0
disciplined design reviews,1.5
customer requirements,1.0
commercial companies demand,1.5
schedule problems,1.0
informed decision,1.0
decision makers,1.0
current acquisition policy,1.5
two-stage process-integration,1.0
relevant environment,1.0
using prototypes,1.0
insufficient knowledge,1.0
production decision,1.0
reliability goals,1.0
production decision,1.0
quality outcomes,1.0
significant manufacturing risks,1.5
policy states,1.0
inconsistent results,1.0
product demonstration,1.0
specific knowledge,1.0
interim progress review,1.5
commercial companies,1.0
knowledge-based standards,1.0
specific criteria,1.0
critical decision point,1.5
building knowledge,1.0
demonstration phase,1.0
next phase,1.0
manufacturing processes,1.0
commercial firm,1.0
decision milestone,1.0
acquisition process,1.0
similar decision,1.0
decision maker,1.0
Practice Model,1.0
executive level,1.0
possible application,1.0
development process,1.0
decision reviews,1.0
schedule delays,1.0
product integration,1.0
scarce funding,1.0
Favor Capture,1.0
system demonstration,1.0
commercial model,1.0
acquisition programs,1.0
cost growth,1.0
timely capture,1.0
program managers,1.0
product developers,1.0
competitive environment,1.0
critical knowledge,1.0
process risk,1.0
weapon system,1.0
manufacturing knowledge,1.0
strong incentives,1.0
manufacturing knowledge,1.0
program managers,1.0
commercial companies,1.0
Program managers,1.0
optimistic program schedules,1.5
key decision points,1.5
high-quality products,1.0
informed decisions,1.0
big investments,1.0
cost-reimbursement10 contracts,1.0
current acquisition environment,1.5
inadequate design,1.0
manufacturing knowledge,1.0
next phase,1.0
support decisions,1.0
significant unknowns,1.0
critical design reviews,1.5
key decisions,1.0
acquisition process,1.0
environment results,1.0
interim progress reviews,1.5
production decision reviews,1.5
securing funds year,1.5
critical design review,1.5
engineering drawings,1.0
Cost-reimbursement contracts,1.0
production representative prototypes,1.5
fixed-priced contracts,1.0
price adjustment,1.0
control costs,1.0
leading commercial,1.0
quite different,1.0
manufacturing capability,1.0
development work,1.0
full responsibility,1.0
resulting profit,1.0
significant cost increases,1.5
failure-the customer,1.0
product knowledge,1.0
product development process,1.5
forces discipline,1.0
significant increase,1.0
sufficient accuracy,1.0
maximum incentive,1.0
preestablished firm price,1.5
place maximum risk,1.5
acceptable return,1.0
business case,1.0
business case centers,1.5
business case factors,1.5
real prospect,1.0
design process,1.0
commercial companies,1.0
sound business case,1.5
firm opportunities,1.0
realistic assessments,1.0
commercial companies,1.0
supplier involvement,1.0
strong incentives,1.0
program office,1.0
performance characteristics,1.0
statistical control,1.0
product reliability,1.0
performing weapon,1.0
quantum leap,1.0
weapon system,1.0
strong incentives,1.0
making decisions,1.0
good reasons,1.0
Program managers,1.0
business case,1.0
program managers,1.0
dominant concern,1.0
commercial companies,1.0
business case,1.0
manufacturing processes,1.0
main vehicle,1.0
business case,1.0
risk reduction,1.0
critical design review,1.5
engineering drawings,1.0
optimistic assumptions,1.0
development cost,1.0
current acquisition environment,1.5
significant risks,1.0
meeting cost,1.0
schedule targets,1.0
good reasons,1.0
program managers,1.0
prohibitive-for decision makers,1.5
product development environment,1.5
maintenance budget,1.0
reliability problems,1.0
business case,1.0
DOD places,1.0
little premium,1.0
business case,1.0
commercial companies,1.0
development process,1.0
entire product,1.0
cost-type contracting,1.0
weapon systems,1.0
evolutionary approach,1.0
knowledge-based product development process,2.0
evolutionary approach,1.0
evolutionary acquisition,1.0
creating incentives,1.0
using knowledge,1.0
unproven content,1.0
development process,1.0
additional capabilities,1.0
creating guidelines,1.0
weapon system acquisitions,1.5
improving policy,1.0
weapon systems,1.0
manufacturing knowledge,1.0
incorporating guidance,1.0
acquisition policy,1.0
investment points,1.0
current policy,1.0
good framework,1.0
system integration,1.0
system demonstration,1.0
good decisions,1.0
manufacturing knowledge,1.0
poor results,1.0
increasing investments,1.0
critical manufacturing processes,1.5
product reliability,1.0
development programs,1.0
capturing knowledge,1.0
maintaining funding,1.0
manufacturing knowledge,1.0
commercial companies,1.0
specific criteria,1.0
key elements,1.0
acquisition programs,1.0
development phase,1.0
schedule problems,1.0
unstable design,1.0
insufficient knowledge,1.0
proper incentives,1.0
annual exercise,1.0
obtaining funding,1.0
capturing design,1.0
future generation,1.0
Raising problems,1.0
extra oversight,1.0
manufacturing knowledge,1.0
development process,1.0
development program,1.0
manufacturing processes,1.0
manufacturing knowledge,1.0
product development process,1.5
design challenge,1.0
system integration,1.0
early capture,1.0
manageable task,1.0
manufacturing knowledge,1.0
sufficient time,1.0
policy addresses,1.0
measure design stability,1.5
process controls,1.0
high-level decision points,1.5
leading companies,1.0
development program,1.0
difficult decision,1.0
risky technology,1.0
manufacturing requirements,1.0
acquisition environment,1.0
basic product,1.0
knowledge-based process,1.0
knowledge-based exit criteria,1.5
used tools,1.0
manufacturing knowledge,1.0
production decision,1.0
manufacturing knowledge,1.0
capturing design,1.0
key junctures,1.0
manufacturing knowledge,1.0
capturing design,1.0
specific design,1.0
acquisition process,1.0
weapon system,1.0
key points-when transitioning,1.5
system design reviews,1.5
system integration,1.0
system demonstration,1.0
specific knowledge,1.0
system integration,1.0
system demonstration,1.0
variant testing,1.0
functional design team,1.5
key supplier,1.0
design engineers,1.0
Completed failure modes,1.5
effects analysis,1.0
key system characteristics,1.5
critical manufacturing,1.0
reliability targets,1.0
growth plan,1.0
manufacturing processes,1.0
production representative prototypes,1.5
reliability goal,1.0
statistical process control data,2.0
critical processes,1.0
system integration,1.0
system demonstration,1.0
program manager,1.0
demonstrating manufacturing processes,1.5
program manager,1.0
interim progress review,1.5
next phase,1.0
development attention,1.0
product design,1.0
exit criteria,1.0
decision review,1.0
exit criteria,1.0
system integration,1.0
manufacturing production representative prototypes,2.0
development-system demonstration,1.0
demonstrated exit criteria,1.5
decision makers,1.0
exit criteria,1.0
statistical control,1.0
manufacturing processes,1.0
operational use,1.0
program office,1.0
product reliability,1.0
product design,1.0
substantial investments,1.0
quality goals,1.0
demonstration phase,1.0
weapon system,1.0
major weapon system acquisitions,2.0
reliability knowledge,1.0
beginning system,1.0
system acquisition program,1.5
informed decisions,1.0
key points,1.0
acquisition process-when,1.0
system integration,1.0
initial prototypes,1.0
manufacturing capability,1.0
system demonstration,2.0
milestone decision authority needs,2.0
decision process,1.0
using design,1.0
manufacturing knowledge,1.0
management prerogatives,1.0
key points,1.0
exit criteria,1.0
knowledge requirement,1.0
statistical process control techniques,2.0
good sense,1.0
critical manufacturing processes,1.5
90 percent drawings,1.5
full rate production decision,2.0
weapon system,1.0
reasonable approach,1.0
specific weapon system,1.5
additional production experience,1.5
statistical process,1.0
low rate production quantities,2.0
reasonable plan,1.0
program manager,1.0
planned buy,1.0
system integration phase,1.5
decision review,1.0
low rate production decision,2.0
critical processes,1.0
critical processes,1.0
full rate production decision,2.0
Constructive Test Approach,1.5
Defense Acquisitions,1.0
Program Outcomes,1.0
Successful Application,1.0
Weapon Acquisitions,1.0
Major Acquisitions,1.0
Significant Changes,1.0
investigative arm,1.0
public funds,1.0
federal programs,1.0
funding decisions,1.0
good government,1.0
core values,1.0
informed oversight,1.0
including charts,1.0
Additional copies,1.0
Obtaining Copies,1.0
fulltext files,1.0
current reports,1.0
full-text document files,1.5
single address,1.0
answering system,1.0
key words,1.0
daily E-mail alert,1.5
money order,1.0
pilot phase,1.0
primary client,1.0
Private Use,1.0
executive branch agencies,1.5
executive branch,1.0
transparent policies,1.0
nonpartisan manner,1.0
working relationships,1.0
branch officials,1.0
federal departments,1.0
meaningful communication,1.0
agency comments,1.0
sought clarification,1.0
recommendation follow-up,1.0
agency comment,1.0
field locations,1.0
agency officials,1.0
agency comments,1.0
entrance conference,1.0
field location,1.0
communication procedures,1.0
agency liaison,1.0
exit conference,1.0
critical facts,1.0
key information,1.0
written report,1.0
seeking clarification,1.0
raised questions,1.0
30 calendar days,1.5
special attention,1.0
access authorities,1.0
needed refinements,1.0
federal departments,1.0
working relationship,1.0
agency comments,1.0
Recommendation follow-up,1.0
additional references,1.0
federal agencies,1.0
financial audits,1.0
program reviews,1.0
working relationships,1.0
transparent policies,1.0
bid protests,1.0
audit activities,1.0
accountability community,1.0
congressional testimony,1.0
statutory authority,1.0
legal opinions,1.0
IG interactions,1.0
constructive working,1.0
appropriated funds,1.0
legal opinions,1.0
Bid Protests,1.0
Financial Officers,1.0
federal programs,1.0
knowledge base,1.0
working relationships,1.0
collaborative effort,1.0
active participation,1.0
broad coordination,1.0
emerging issues,1.0
public funds,1.0
effective oversight,1.0
funding decisions,1.0
executive branch,1.0
congressional oversight,1.0
several ways,1.0
ongoing audit presence,1.5
professional courtesy,1.0
specific issues,1.0
federal programs,1.0
government operations,1.0
financial audits,1.0
program reviews,1.0
public funds,1.0
management audits,1.0
government activities,1.0
federal policies,1.0
improper activities,1.0
legal opinions,1.0
general principles,1.0
Congressional Protocols,1.0
operating plan,1.0
development work,1.0
serious wrongdoing,1.0
core values,1.0
professional standards,1.0
conducting audits,1.0
government auditing standards,1.5
congressional mandates,1.0
congressional requests,1.0
legal authority,1.0
analytical work,1.0
potential violations,1.0
criminal law-and,1.0
original charter,1.0
financial transactions,1.0
public expenditures,1.0
financial management,1.0
establishing accounting standards,1.5
legislative branch,1.0
broad role,1.0
Statutory Responsibilities,1.0
public funds,1.0
